timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, pitch
153759, 1.7727450132369995, -3.3369288444519043, 0.001442533452063799, -0.06537425518035889, -0.015826711431145668, -0.00743097485974431, 118708.796875, 148773.734375, 89940.0234375, 120176.546875, 139868.484375, 98384.2109375, 0.0, 0.0, 0.0, 0.0, 1.7807526588439941, -3.3351290225982666, -0.011359958909451962, 84.26111602783203, 4.044406414031982
153779, 1.7730298042297363, -3.336364507675171, 0.002201491966843605, -0.06314682215452194, -0.010659154504537582, -0.0018237729091197252, 118713.9765625, 148771.890625, 89943.9140625, 120175.65625, 139868.484375, 98386.2421875, 0.0, 0.0, 0.0, 0.0, 1.7806682586669922, -3.335151195526123, -0.011240623891353607, 84.19367218017578, 4.0473432540893555
153799, 1.7733807563781738, -3.33614182472229, 0.0008351499564014375, -0.060597073286771774, -0.00875801406800747, -0.00964974332600832, 118708.109375, 148765.4375, 89943.9140625, 120178.7421875, 139872.53125, 98388.2734375, 0.0, 0.0, 0.0, 0.0, 1.7806901931762695, -3.3351192474365234, -0.011098251678049564, 84.20223236083984, 4.0564284324646
153819, 1.7729593515396118, -3.336021661758423, 0.003294747555628419, -0.06352198123931885, -0.007801508530974388, 0.006190885789692402, 118716.1640625, 148767.28125, 89939.671875, 120178.0859375, 139865.703125, 98390.296875, 0.0, 0.0, 0.0, 0.0, 1.7804508209228516, -3.3349249362945557, -0.011133583262562752, 84.16879272460938, 4.031414985656738
153839, 1.7734746932983398, -3.336320161819458, 0.0019423718331381679, -0.061907634139060974, -0.011100323870778084, -0.003078204346820712, 118710.984375, 148769.578125, 89943.9140625, 120178.0859375, 139867.984375, 98382.6953125, 0.0, 0.0, 0.0, 0.0, 1.7807005643844604, -3.3351433277130127, -0.011233576573431492, 84.17786407470703, 4.046874523162842
153860, 1.7733827829360962, -3.3360302448272705, 0.003904401557520032, -0.0610651895403862, -0.00814999733120203, 0.011598985642194748, 118710.984375, 148773.734375, 89942.765625, 120177.1953125, 139867.46875, 98396.90625, 0.0, 0.0, 0.0, 0.0, 1.7802832126617432, -3.334946870803833, -0.010622152127325535, 84.27052307128906, 4.063796520233154
153879, 1.7736084461212158, -3.3366358280181885, 0.0028186265844851732, -0.058753602206707, -0.013808101415634155, 0.003486845176666975, 118719.046875, 148770.515625, 89935.78125, 120175.8984375, 139865.703125, 98394.359375, 0.0, 0.0, 0.0, 0.0, 1.780366063117981, -3.3348913192749023, -0.011089583858847618, 84.23237609863281, 4.096189022064209
153900, 1.7734174728393555, -3.3363466262817383, 0.005216939840465784, -0.059388574212789536, -0.010453992523252964, 0.020693698897957802, 118713.9765625, 148773.734375, 89939.671875, 120178.7421875, 139863.9375, 98392.09375, 0.0, 0.0, 0.0, 0.0, 1.7807929515838623, -3.335155487060547, -0.011279063299298286, 84.20612335205078, 4.010128974914551
153919, 1.7737035751342773, -3.3361639976501465, 0.004133889451622963, -0.05732664838433266, -0.00845614168792963, 0.011162194423377514, 118712.484375, 148769.578125, 89946.65625, 120182.4765625, 139863.421875, 98391.5703125, 0.0, 0.0, 0.0, 0.0, 1.7806974649429321, -3.335113048553467, -0.011256768368184566, 84.21959686279297, 4.040194034576416
153940, 1.7738374471664429, -3.3367269039154053, 0.0040955254808068275, -0.056541915982961655, -0.013743285089731216, 0.010322262533009052, 118711.7890625, 148768.203125, 89943.9140625, 120180.28125, 139870.25, 98387.515625, 0.0, 0.0, 0.0, 0.0, 1.7803137302398682, -3.33486270904541, -0.01094458345323801, 84.23185729980469, 4.08008337020874
153960, 1.7739301919937134, -3.3365542888641357, 0.003323356620967388, -0.05523023009300232, -0.011833327822387218, 0.004098632372915745, 118704.421875, 148771.4375, 89944.7109375, 120178.0859375, 139865.703125, 98382.9375, 0.0, 0.0, 0.0, 0.0, 1.7807657718658447, -3.33514404296875, -0.011402327567338943, 84.21138763427734, 4.004605293273926
