timestamp,whisker1_1,whisker2_2
1714396628.2921617,[26.67706507],[72.01370515]
1714396628.3024476,[26.67706507],[72.01370515]
1714396628.3127186,[24.7361689],[65.25355897]
1714396628.3229892,[22.86008554],[59.17758552]
1714396628.3332736,[22.86008554],[59.17758552]
1714396628.343548,[20.77416506],[53.40564558]
1714396628.3538065,[20.77416506],[53.40564558]
1714396628.3641276,[18.72787256],[47.4376808]
1714396628.3744538,[18.72787256],[47.4376808]
1714396628.3847175,[16.20193268],[42.27608355]
1714396628.3950293,[16.20193268],[42.27608355]
1714396628.405303,[13.56600158],[37.40025196]
1714396628.4155943,[13.56600158],[37.40025196]
1714396628.4259667,[11.35078272],[32.528714]
1714396628.4362483,[11.35078272],[32.528714]
1714396628.4465492,[9.10781073],[28.67613689]
1714396628.4568613,[9.10781073],[28.67613689]
1714396628.467143,[7.20006114],[26.10979246]
1714396628.477439,[7.20006114],[26.10979246]
1714396628.4877403,[5.47880778],[24.52440557]
1714396628.498029,[5.47880778],[24.52440557]
1714396628.5084016,[3.47537384],[22.54568599]
1714396628.5186949,[3.47537384],[22.54568599]
1714396628.5290887,[1.55966388],[19.83971087]
1714396628.5394113,[1.55966388],[19.83971087]
1714396628.5498774,[-0.27678693],[17.24959921]
1714396628.5601597,[-0.27678693],[17.24959921]
1714396628.5704963,[-1.99661108],[15.32460352]
1714396628.5807974,[-1.99661108],[15.32460352]
1714396628.5912075,[-3.65617546],[13.43031766]
1714396628.6015065,[-3.65617546],[13.43031766]
1714396628.6121461,[-4.43147045],[11.13118336]
1714396628.6224418,[-4.69082794],[8.20407356]
1714396628.6327672,[-4.69082794],[8.20407356]
1714396628.6431665,[-5.14206412],[6.09477045]
1714396628.6534665,[-5.14206412],[6.09477045]
1714396628.6637626,[-5.14206412],[6.09477045]
1714396628.6742015,[-5.1574366],[5.59813176]
1714396628.6847508,[-5.1460264],[5.79207203]
1714396628.695035,[-5.1460264],[5.79207203]
1714396628.705329,[-5.2232046],[5.56854014]
1714396628.7156496,[-5.2232046],[5.56854014]
1714396628.7259483,[-4.86214954],[4.46858685]
1714396628.7362473,[-4.86214954],[4.46858685]
1714396628.746546,[-4.49363699],[4.03778425]
1714396628.7567782,[-4.49363699],[4.03778425]
1714396628.7670848,[-4.09763619],[3.8934767]
1714396628.7773867,[-4.09763619],[3.8934767]
1714396628.7876956,[-3.42994989],[4.12989996]
1714396628.7980065,[-3.42994989],[4.12989996]
1714396628.8083007,[-2.85830271],[5.3004515]
1714396628.8186162,[-2.85830271],[5.3004515]
1714396628.8288999,[-2.10354998],[7.22665366]
1714396628.8391898,[-2.10354998],[7.22665366]
1714396628.8494844,[-1.05121433],[8.97245249]
1714396628.859793,[-1.05121433],[8.97245249]
1714396628.870082,[0.01676439],[10.6652691]
1714396628.8803914,[0.01676439],[10.6652691]
1714396628.8908112,[1.2775724],[13.34027812]
1714396628.9011097,[1.2775724],[13.34027812]
1714396628.9114165,[2.88826862],[16.07100224]
1714396628.9222085,[4.11211101],[18.72268123]
1714396628.9325068,[4.11211101],[18.72268123]
1714396628.9428344,[5.46365316],[21.95339479]
1714396628.9531302,[5.46365316],[21.95339479]
1714396628.9634273,[7.5328094],[24.79140613]
1714396628.973731,[7.5328094],[24.79140613]
1714396628.9839623,[9.60886843],[27.62208195]
1714396628.99429,[9.60886843],[27.62208195]
